URI,Genre
spotify:track:4QxDOjgpYtQDxxbWPuEJOy,adult standards
spotify:track:4QxDOjgpYtQDxxbWPuEJOy,lounge
spotify:track:4QxDOjgpYtQDxxbWPuEJOy,soul
spotify:track:4QxDOjgpYtQDxxbWPuEJOy,swing
spotify:track:4QxDOjgpYtQDxxbWPuEJOy,vocal jazz
spotify:track:7hqL3TkHYyamoTR8mTHbKc,lo-fi rap
spotify:track:7hqL3TkHYyamoTR8mTHbKc,pov: indie
spotify:track:6L2woktiAuW35BrcROmhW5,classic soul
spotify:track:6L2woktiAuW35BrcROmhW5,louisiana blues
spotify:track:6L2woktiAuW35BrcROmhW5,new orleans blues
spotify:track:6L2woktiAuW35BrcROmhW5,new orleans soul
spotify:track:6L2woktiAuW35BrcROmhW5,southern soul
spotify:track:7caj6X6NMX3tlhWnu1du6V,rock-and-roll
spotify:track:7caj6X6NMX3tlhWnu1du6V,rockabilly
spotify:track:6OBXfbbmE0enkSn1wmbqlX,brazilian post-hardcore
spotify:track:6OBXfbbmE0enkSn1wmbqlX,brazilian rock
spotify:track:5qOolZ12Z4kucBfKlUJeYp,brazilian punk
spotify:track:5qOolZ12Z4kucBfKlUJeYp,brazilian punk rock
spotify:track:5qOolZ12Z4kucBfKlUJeYp,brazilian rock
spotify:track:5qOolZ12Z4kucBfKlUJeYp,hard rock brasileiro
spotify:track:5qOolZ12Z4kucBfKlUJeYp,rock brasiliense
spotify:track:5qOolZ12Z4kucBfKlUJeYp,rock nacional brasileiro
spotify:track:75JFxkI2RXiU7L9VXzMkle,permanent wave
spotify:track:75JFxkI2RXiU7L9VXzMkle,pop
spotify:track:3aauaXWRgwCMoykMbI0Jq1,indie poptimism
spotify:track:3aauaXWRgwCMoykMbI0Jq1,modern rock
spotify:track:3asj3OMn7BkuWOxsdkYybG,baroque pop
spotify:track:3asj3OMn7BkuWOxsdkYybG,modern rock
spotify:track:3asj3OMn7BkuWOxsdkYybG,sheffield indie
spotify:track:6JqYhSdTE4WbQrMXxPH5cD,bedroom pop
spotify:track:6JqYhSdTE4WbQrMXxPH5cD,pov: indie
spotify:track:5hkbAL9ICL8VFtYyAWyM2p,chillhop
spotify:track:5JxZgmOjx6j1StzrOq85HK,candy pop
spotify:track:5JxZgmOjx6j1StzrOq85HK,modern rock
spotify:track:5JxZgmOjx6j1StzrOq85HK,pixie
spotify:track:5JxZgmOjx6j1StzrOq85HK,pop
spotify:track:5JxZgmOjx6j1StzrOq85HK,pop emo
spotify:track:5JxZgmOjx6j1StzrOq85HK,pop punk
spotify:track:5JxZgmOjx6j1StzrOq85HK,rock
spotify:track:2H3wWrnO758y0fPH7Ilerg,emo rap
spotify:track:2H3wWrnO758y0fPH7Ilerg,miami hip hop
spotify:track:6ZN6ziJYlKwdZf4A0mOGoS,album rock
spotify:track:6ZN6ziJYlKwdZf4A0mOGoS,art rock
spotify:track:6ZN6ziJYlKwdZf4A0mOGoS,classic rock
spotify:track:6ZN6ziJYlKwdZf4A0mOGoS,progressive rock
spotify:track:6ZN6ziJYlKwdZf4A0mOGoS,psychedelic rock
spotify:track:6ZN6ziJYlKwdZf4A0mOGoS,rock
spotify:track:6ZN6ziJYlKwdZf4A0mOGoS,symphonic rock
spotify:track:7g5gZWKWTuS8N3OnM2g95g,ectofolk
spotify:track:7g5gZWKWTuS8N3OnM2g95g,lilith
spotify:track:7g5gZWKWTuS8N3OnM2g95g,new wave pop
spotify:track:7g5gZWKWTuS8N3OnM2g95g,pop rock
spotify:track:7g5gZWKWTuS8N3OnM2g95g,singer-songwriter
spotify:track:0dkvbYmXYEPK7gGMdytmfI,art pop
spotify:track:0dkvbYmXYEPK7gGMdytmfI,electropop
spotify:track:0dkvbYmXYEPK7gGMdytmfI,indietronica
spotify:track:0dkvbYmXYEPK7gGMdytmfI,neo-synthpop
spotify:track:0dkvbYmXYEPK7gGMdytmfI,swedish electropop
